X,Y
1.000,0.000
2.000,0.693
3.000,1.099
4.000,1.386
5.000,1.609
6.000,1.792
7.000,1.946
8.000,2.079
9.000,2.197
10.000,2.303
11.000,2.398
12.000,2.485
13.000,2.565
14.000,2.639
15.000,2.708
16.000,2.773
17.000,2.833
18.000,2.890
19.000,2.944
20.000,2.996
21.000,3.045
22.000,3.091
23.000,3.135
24.000,3.178
25.000,3.219
26.000,3.258
27.000,3.296
28.000,3.332
29.000,3.367
30.000,3.401
31.000,3.434
32.000,3.466
33.000,3.497
34.000,3.526
35.000,3.555
36.000,3.584
37.000,3.611
38.000,3.638
39.000,3.664
40.000,3.689
41.000,3.714
42.000,3.738
43.000,3.761
44.000,3.784
45.000,3.807
46.000,3.829
47.000,3.850
48.000,3.871
49.000,3.892
50.000,3.912
51.000,3.932
52.000,3.951
53.000,3.970
54.000,3.989
55.000,4.007
56.000,4.025
57.000,4.043
58.000,4.060
59.000,4.078
60.000,4.094
61.000,4.111
62.000,4.127
63.000,4.143
64.000,4.159
65.000,4.174
66.000,4.190
67.000,4.205
68.000,4.220
69.000,4.234
70.000,4.248
71.000,4.263
72.000,4.277
73.000,4.290
74.000,4.304
75.000,4.317
76.000,4.331
77.000,4.344
78.000,4.357
79.000,4.369
80.000,4.382
81.000,4.394
82.000,4.407
83.000,4.419
84.000,4.431
85.000,4.443
86.000,4.454
87.000,4.466
88.000,4.477
89.000,4.489
90.000,4.500
91.000,4.511
92.000,4.522
93.000,4.533
94.000,4.543
95.000,4.554
96.000,4.564
97.000,4.575
98.000,4.585
99.000,4.595
100.000,4.605
